Provider Tier,Provider,Representative Models,Task Class Fit,Tooling Tier Fit,Best For,Avoid When,Primary Routing Flags
GPT mini,GPT,"GPT mini-class models",C1-C2,T2-T3,"Fast transforms, lightweight coding, structured extraction","You need high-trust judgment or deep synthesis","cost-sensitive; agentic-coding"
GPT flagship,GPT,"GPT flagship models",C3-C4,T3-T4,"Architecture, coding, critique, final synthesis","The task is mainly Google-native workflow execution","high-stakes; agentic-coding"
Gemini Flash-class,Gemini,"Gemini Flash-class models",C1-C2,T2-T3,"Cheap summarization, fast research passes, Google-connected productivity","You need final architecture or policy-quality reasoning","google-native; web-research"
Gemini Pro-class,Gemini,"Gemini Pro-class models",C2-C3,T3,"Large-context ingestion, NotebookLM-adjacent workflows, broad research","You need the final decision layer for complex architecture or governance","google-native; huge-context; web-research"
Gemini Ultra-class,Gemini,"gemini-ultra",C4,T4,"High-capability research synthesis and premium Gemini workflows","You mainly need governance-grade final judgment or cheap throughput","google-native; huge-context; high-stakes"
Claude Haiku-class,Claude,"Haiku-class models",C1-C2,T1-T2,"Routing, formatting, classification, batch transforms","Multi-file reasoning or judgment-heavy work","cost-sensitive"
Claude Sonnet-class,Claude,"Sonnet-class models",C2-C3,T3,"Standard coding, review, synthesis, debugging","Creative or high-stakes work where final judgment dominates","agentic-coding"
Claude Opus-class,Claude,"Opus-class models",C4,T4,"High-trust writing, governance, architecture, nuanced synthesis","Cheap or routine tasks","high-stakes"
Native Claude session,Claude,"claude-sonnet-4-6 session",C3-C4,T4,"Subscription-backed deep reasoning and session-native agentic work","The task is cheap, repetitive, or better handled locally","agentic-coding; high-stakes"
Ollama small,Ollama,"small local models",C1,T1-T2,"Local extraction, lightweight labeling, private transforms","Anything requiring strong judgment","local-only; privacy-sensitive"
Ollama medium,Ollama,"medium local models",C1-C2,T2-T3,"Local coding help, internal summaries, cheap private automation","Mission-critical reasoning","local-only; privacy-sensitive"
Ollama large,Ollama,"large local models",C2-C3,T3,"Better local reasoning when privacy matters more than frontier quality","Top-end architecture, security, or high-stakes decisions","local-only; privacy-sensitive"
Ollama remote,Ollama,"remote desktop Ollama endpoints",C2-C3,T3,"GPU-backed local reasoning over LAN when the desktop is awake","The endpoint is unavailable or latency is high","local-only; privacy-sensitive; remote-ollama"
Ollama Cloud,Ollama,"llama3.3:70b (cloud-enabled catalog)",C2-C3,T3,"Subscription-backed cloud GPU; same API shape as local Ollama; higher-capability models; no per-call API key needed beyond plan","When privacy requires fully local execution or the task fits cheaper local inference","subscription; agentic-coding"
Featherless,Featherless,"NousResearch/Hermes-3-Llama-3.1-8B; Qwen/Qwen2.5-7B-Instruct",C1-C2,T2-T3,"Serverless open-model inference; any HuggingFace Org/Model path on-demand; low per-call cost; no GPU required","When you need top-tier frontier quality or Google-native ecosystem features","cost-sensitive; agentic-coding"
LM Studio local,Local,"locally loaded LM Studio model",C1-C3,T0-T3,"Ad hoc local inference when a compatible model is already loaded","No model is loaded or the workflow requires repeatable routing guarantees","local-only; privacy-sensitive"
RunPod hosted large,RunPod,"hosted large open models",C3-C4,T4,"Larger hosted open-model inference when local VRAM is insufficient","Routine work that fits local or standard cloud APIs","high-stakes; burst-capacity"
